MetaOTU	Species	Type	Sample	RelativeAbundance
MS00059	Bifidobacterium longum	Newborn	X78	0.642733813094985
MS00059	Bifidobacterium longum	Newborn	X87	0
MS00159	Eubacterium hallii	Newborn	X105	0
MS00159	Eubacterium hallii	Newborn	X10	0
MS00159	Eubacterium hallii	Newborn	X128	0
MS00159	Eubacterium hallii	Newborn	X12	0
MS00159	Eubacterium hallii	Newborn	X130	0
MS00159	Eubacterium hallii	Newborn	X133	0
MS00159	Eubacterium hallii	Newborn	X137	0
MS00159	Eubacterium hallii	Newborn	X150	0
MS00159	Eubacterium hallii	Newborn	X157	0
MS00159	Eubacterium hallii	Newborn	X172	0
MS00159	Eubacterium hallii	Newborn	X180	0
MS00159	Eubacterium hallii	Newborn	X181	0
MS00159	Eubacterium hallii	Newborn	X184	0
MS00159	Eubacterium hallii	Newborn	X201	0
MS00159	Eubacterium hallii	Newborn	X229	0
MS00159	Eubacterium hallii	Newborn	X238	0
MS00159	Eubacterium hallii	Newborn	X240	0
MS00159	Eubacterium hallii	Newborn	X256	0
MS00159	Eubacterium hallii	Newborn	X258	0
MS00159	Eubacterium hallii	Newborn	X263	0
MS00159	Eubacterium hallii	Newborn	X265	0
MS00159	Eubacterium hallii	Newborn	X268	0
MS00159	Eubacterium hallii	Newborn	X26	0
MS00159	Eubacterium hallii	Newborn	X272	0
MS00159	Eubacterium hallii	Newborn	X274	0
MS00159	Eubacterium hallii	Newborn	X275	0
MS00159	Eubacterium hallii	Newborn	X276	0
MS00159	Eubacterium hallii	Newborn	X281	0
MS00159	Eubacterium hallii	Newborn	X282	0
MS00159	Eubacterium hallii	Newborn	X332	0
MS00159	Eubacterium hallii	Newborn	X335	0
MS00159	Eubacterium hallii	Newborn	X338	0
MS00159	Eubacterium hallii	Newborn	X341	0
MS00159	Eubacterium hallii	Newborn	X343	0
MS00159	Eubacterium hallii	Newborn	X350	0
MS00159	Eubacterium hallii	Newborn	X367	0
MS00159	Eubacterium hallii	Newborn	X377	0
MS00159	Eubacterium hallii	Newborn	X383	0
MS00159	Eubacterium hallii	Newborn	X385	0
MS00159	Eubacterium hallii	Newborn	X397	0
MS00159	Eubacterium hallii	Newborn	X39	0
MS00159	Eubacterium hallii	Newborn	X42	0
MS00159	Eubacterium hallii	Newborn	X45	0
MS00159	Eubacterium hallii	Newborn	X51	0
MS00159	Eubacterium hallii	Newborn	X521	0
MS00159	Eubacterium hallii	Newborn	X526	0
MS00159	Eubacterium hallii	Newborn	X527	0
MS00159	Eubacterium hallii	Newborn	X536	0
MS00159	Eubacterium hallii	Newborn	X544	0
MS00159	Eubacterium hallii	Newborn	X549	0
MS00159	Eubacterium hallii	Newborn	X560	0
MS00159	Eubacterium hallii	Newborn	X565	0
MS00159	Eubacterium hallii	Newborn	X567	0
MS00159	Eubacterium hallii	Newborn	X572	0
MS00159	Eubacterium hallii	Newborn	X582	0
MS00159	Eubacterium hallii	Newborn	X585	0
MS00159	Eubacterium hallii	Newborn	X587	0
