103_B	105_B	10_B	128_B	12_B	130_B	133_B	137_B	150_B	157_B	172_B	179_B	180_B	181_B	184_B	18_B	195_B	1_B	201_B	203_B	224_B	229_B	238_B	240_B	241_B	244_B	256_B	258_B	263_B	265_B	268_B	26_B	272_B	274_B	275_B	276_B	281_B	282_B	332_B	335_B	338_B	341_B	343_B	345_B	350_B	367_B	377_B	383_B	385_B	387_B	38_B	397_B	39_B	42_B	45_B	503_B	504_B	507_B	511_B	51_B	521_B	526_B	527_B	532_B	536_B	53_B	544_B	546_B	549_B	560_B	565_B	567_B	570_B	572_B	577_B	582_B	585_B	587_B	589_B	590_B	591_B	598_B	599_B	608_B	615_B	622_B	624_B	626_B	633_B	635_B	637_B	640_B	70_B	78_B	7_B	82_B	87_B	9_B
MN00031	0.00220253650216792	0	0	0	0	0	5.04059114301039e-05	0	0	0	0	0	0.000376873364309587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000792036439559459	0.000337717343758189	5.58140683098714e-05	0	0	0	0	9.67240970183343e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76469966059215e-05	0.00207267041694121	0	0	0	0	0	0	0.000103230883565047	0	0.00160140998437521	0	0	0.000225946276098351	0	0	0	0	0	0	0	0	0	0	0	0.00753334931909795	0	0	0	0.000167901063157399	0	0.000114763234920696	0	0.00249038179651395	0	0	0	0	0	0	0	0	8.79954072377297e-05	0	0	0	0
MN00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00033	0	0	0	0	8.5427683917556e-05	0	0	0.00143790445622095	0	0	9.30583294264668e-05	0	0	0.00081319733058829	0	0	0	0.000112235390858535	0	0	0	0	0	0	0	0.00075522274733418	0	0.000861801896367487	0	0	0.000336642874687435	0	0	0	0	0.000400758221921615	0	0.000632962189448841	0.00056326202410783	0.000151180813320175	0.0076359806120439	0.00630099265412733	0	0.00219088947274413	0.017787396434873	0	0	0	0	0.000743063652657415	0	0	0	0.00276681645597991	0.0629860585477255	0	0	0	0.000366509274947304	0.0196480986270213	0	0	0	0	0	0	0	0	0.00208896856082802	0	0	0	0	0	0	0	0	0	0	0.071913628235698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61939853382694e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.66641648806896e-05	0	0	0	0	0	0	0	0	0
MN00035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24573055306064e-05	0	0	0	0	0	0	0	0	0
MN00037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.65200785274026e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00049107319687233	0	0	0	0	0	0	0	0	0
MN00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00079696119876299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.90243890881364e-05	0	0	0	0	0	0	4.45679698734625e-05	0	0	0	0	0	0	0	0	0	0	0	3.30904026851117e-05	6.7542345371204e-05	0	0	0	0	0	0	0	0	0	0	0	0.000273213517978655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.93218068621305e-05	0	0	0	0	0	0	4.9345495442177e-05	0	0
MN00040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022147233681591	0	0.00745066625118913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115227987446014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
