103_4M	105_4M	10_4M	128_4M	12_4M	130_4M	133_4M	137_4M	150_4M	157_4M	172_4M	179_4M	180_4M	181_4M	184_4M	18_4M	195_4M	1_4M	201_4M	203_4M	224_4M	229_4M	238_4M	240_4M	241_4M	244_4M	256_4M	258_4M	263_4M	265_4M	268_4M	26_4M	272_4M	274_4M	275_4M	276_4M	281_4M	282_4M	332_4M	335_4M	338_4M	341_4M	343_4M	345_4M	350_4M	367_4M	377_4M	383_4M	385_4M	387_4M	38_4M	397_4M	39_4M	42_4M	45_4M	503_4M	504_4M	507_4M	511_4M	51_4M	521_4M	526_4M	527_4M	532_4M	536_4M	53_4M	544_4M	546_4M	549_4M	560_4M	565_4M	567_4M	570_4M	572_4M	577_4M	582_4M	585_4M	587_4M	589_4M	590_4M	591_4M	598_4M	599_4M	608_4M	615_4M	622_4M	624_4M	626_4M	633_4M	635_4M	637_4M	640_4M	70_4M	78_4M	7_4M	82_4M	87_4M	9_4M
MN00031	0	8.25293607215256e-05	7.70540306953493e-05	0.00012717172085742	0.000285655831525551	0	3.74695280049986e-05	0	0	3.58562661291323e-05	0	0	0	0	0	0	0	0	0	2.79121720189263e-05	0	0.000125719038407462	0.000578571438536135	0	0	0	6.5209240050801e-05	0	0	3.95407476911282e-05	0	0	0	0	0	0	0	0	0	0.000379987606110286	0	0	0	0	0	0	0	0	0	0.000119838222011354	0.000802168632604203	4.07698760999569e-05	0	0	0	0	0	0	5.41090757903751e-05	0	2.99602459626319e-05	0	0	0	3.26080099867518e-05	0	0	0	0	0	0	0	0	0	2.89311105983503e-05	0	0	0	0	0	0	0.00014675138342957	0.000151059882410026	2.40000595111717e-05	0	0	0	0	0.000403177998506322	5.80023018179305e-05	0	0	4.07692621783543e-05	0	0	0	0	5.54556638735418e-05
MN00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.58001988777822e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00230722606230519	0	0	0	0	0	0
MN00033	0	0	0	0	0	0.000151733198195707	0	0	0	0	5.03499523616826e-05	0.00312813787921651	0	0.000316528699214961	0	0.00247422748206972	0	0.00232826519372692	0	0	0.000756654004232213	0	0	0	0	0	0	0	0	0	0.00294360957911406	0	0	0.000193336181588686	0	0.000343061416043269	0.000130729537958959	0	0.00282360192450783	0	0.00645334390192312	0.0358201958656501	0	0	0	0	0	0	0	0.00325089182824569	0.000112435726545217	0	0.000182392815329095	0	0.0226126063367599	0	0.00179893276082593	0	0.000168479009887677	0.000185158158196402	6.91302962265129e-05	0	0	0	0	0	0	0	0.00969305730049347	0	0	0	0	0	0.000613444004107366	0	0	0	0	0.0169382146247652	0	0.00013933025034923	0	3.22027996579738e-05	0	0	0.00159630433031962	0	0	0.000141188780647483	0	0	0	0	0.000123451407413458	0	0	0
MN00034	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09769270178579e-05	0.00389803303903386	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00388464241460394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57781481539335e-05	0	0	0	0	0	0	0	1.03423647929396e-05	1.49726671388568e-05	0.000908651304395996	0	0	0	0	0	0	0.00144078265985894	0	0	0	3.18891110853835e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000539117463791937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00102770646538316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000199000379571001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0467201960698806	0.000143059152234638	0	0.000380762364372203	0	0	0	0	0	0.000105542287088065	0	0	0	0
MN00036	0	0.000461922197021171	0	0	0	0	0	0	0	0	0.0553420496539958	0	0	0.000193086918276804	0	0	0	0	0	0	0	0	0	0	0	0	0.0138393428222285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.13867173014635e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000834623536694545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00161465979114969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.49237976647719e-05	0	0	0	0	0	0	0.00901492976652208	0	0	0	0	0	0	0	0	0.000142886535417	0	0	0.0013372950317479	5.56243709571311e-05	0	0	0	0	0	0	0	0	0	0	0	0.000285303409947709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1469356665841e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000113812907449163	0	0
MN00040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.40411179124747e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00155812636526793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
